date,timezone,username,tweet,link,nlikes,nretweets,nreplies,hashtags,datetime_,date_dt,time_dt
2022-01-09 19:27:19,+0800,fahmizainol91,AMK Pulau Pinang akan membuat laporan polis berkenaan isu yang dikaitkan dengan Ketua Pesuruhjaya SPRM Tan Sri Azam Baki.   Isnin 10 Januari 2022 8.30 malam IPD Bandar Baru Perda,https://twitter.com/fahmizainol91/status/1480139115735617537,51,16,1,[],2022-01-09 19:27:19,2022-01-09,19:27:19
2022-01-09 19:26:37,+0800,baganmariiii,@BernamaTV Kenapa SPRM lawat tapak projek ye?siapa tahu?soalan serius 😅,https://twitter.com/baganmariiii/status/1480138938987671552,0,0,0,[],2022-01-09 19:26:37,2022-01-09,19:26:37
2022-01-09 19:25:53,+0800,mypostbm,SPRM sepatutnya bertegas agar satu siasatan adil dan telus dijalankan demi menjaga maruah SPRM.  https://t.co/Sxy3xJNJZX,https://twitter.com/mypostbm/status/1480138754538950656,1,0,0,[],2022-01-09 19:25:53,2022-01-09,19:25:53
2022-01-09 19:25:15,+0800,faisalmustaffa,"Kalau semua anggota @SPRMMalaysia sokong tindakan Ketua mereka bagi akaun depositori ke adik dia, maka semua SPRM kena overhaul.",https://twitter.com/faisalmustaffa/status/1480138594664681472,0,0,0,[],2022-01-09 19:25:15,2022-01-09,19:25:15
2022-01-09 19:24:09,+0800,deledelulu,aku sakit hati... sangat sakit hati... kita diasah dalam kelas kita harus ada sikap telus spt akta yg tertulis dalam sprm HAHA ternyata sprm sendiri yang tak telus lmaooooo,https://twitter.com/deledelulu/status/1480138318859759618,1,0,0,[],2022-01-09 19:24:09,2022-01-09,19:24:09
2022-01-09 19:24:07,+0800,poihisyam,Tahniah SPRM.. ada peluang utk kembali intergriti di sia2kan bgitu shj.. #OhMalaysiaku,https://twitter.com/poihisyam/status/1480138308856344576,0,0,0,['ohmalaysiaku'],2022-01-09 19:24:07,2022-01-09,19:24:07
2022-01-09 19:22:22,+0800,TeohPaikLeong,"@ketua_darjat Buat lah live dekat TV3, SPRM boleh bayar duit airing dengan wang rasuah yang dirampas mah .",https://twitter.com/TeohPaikLeong/status/1480137869540745216,2,0,0,[],2022-01-09 19:22:22,2022-01-09,19:22:22
2022-01-09 19:21:25,+0800,deledelulu,"terasa ironi disini, realiti ketelusan sprm tidak seperti apa yang aku kena belajar sekarang dalam teori degree aku heh",https://twitter.com/deledelulu/status/1480137631388209153,1,0,1,[],2022-01-09 19:21:25,2022-01-09,19:21:25
2022-01-09 19:21:09,+0800,AfiqHipni,“Ikon Korupsi SPRM 2022”,https://twitter.com/AfiqHipni/status/1480137563331391491,2,0,0,[],2022-01-09 19:21:09,2022-01-09,19:21:09
2022-01-09 19:20:41,+0800,ShafiqGahani,Dah macam parti politik. Rosak sudah SPRM  https://t.co/Uqaex5l0U5,https://twitter.com/ShafiqGahani/status/1480137447803658242,1,0,0,[],2022-01-09 19:20:41,2022-01-09,19:20:41
